patch_id,num_cells,cell_types,area_cells,tumor
220_image_png.rf.6e49a4dcf55bac87de881e3ad46ef2f4.jpg,100,0,5858,0
48_image_png.rf.f17f6debb2adc9d62104ae0582c5b745.jpg,15,"1, 2",6114,1
82_image_png.rf.08648524cd371423750fa3f1aabc82d3.jpg,26,"0, 1, 2",14242,1
556_image_png.rf.dc033881782a82108a5758f84fdaaf75.jpg,13,"0, 1, 2",6935,1
30_image_png.rf.4bea9980876e353bdce4804a7414c2c5.jpg,14,"1, 2",6239,1
285_image_png.rf.743b296469027232fb9abd97a5731120.jpg,60,"0, 1, 2",8231,1
538_image_png.rf.1bbd03b9ef5e5c643f1a395f0e81f60c.jpg,28,"0, 1, 2",10004,1
621_image_png.rf.7712aba0d99ef8494b6b1f8838e4a720.jpg,34,"1, 2",13897,1
233_image_png.rf.eaf3ceeb3385983339b62b588fedefaf.jpg,100,"0, 1",15494,1
682_image_png.rf.953eaf0c76fa0c2b7f4a1bfee6771e7f.jpg,29,"1, 2",11486,1
78_image_png.rf.b9c0883d29d76c69677e8af3ee177977.jpg,51,"0, 1, 2",10012,1
516_image_png.rf.ce103f6f45f3b4fc1bd3fa0171405966.jpg,27,"0, 1, 2",9703,1
152_image_png.rf.0a8691246cc9a2e747c9ae9888907bb3.jpg,24,"0, 1, 2",9184,1
62_image_png.rf.4d88f465e707351665fe7971f5c6e95a.jpg,12,"1, 2",6325,1
676_image_png.rf.04513fbadbc127601f48f9059f5e804b.jpg,51,"0, 1",13203,1
389_image_png.rf.37feeb05621b999ef5844a9af34f9f57.jpg,12,"1, 2",4241,1
603_image_png.rf.78be94a224afa00189fe0974e7d9ccc3.jpg,26,"1, 2",8768,1
520_image_png.rf.65071d7be388bf7541ae52ea9a11d582.jpg,58,"0, 1, 2",15264,1
359_image_png.rf.a4745f660bdf39fa69d5379e968da83f.jpg,33,"0, 1, 2",8631,1
200_image_png.rf.e6c9d9c377a4d22403001af51bcc9969.jpg,21,"1, 2",6951,1
174_image_png.rf.a4fbb612ada0f33798c639e164dbebfd.jpg,38,"1, 2",15506,1
698_image_png.rf.a8745ccff27ed73832236bb0ae8fdff7.jpg,27,"1, 2",9041,1
345_image_png.rf.e458e9fffe87a19cd4fb392d79273d34.jpg,25,"1, 2",10029,1
465_image_png.rf.c383de6d75d6c264ec344f5d925bb2fa.jpg,27,"0, 1, 2",10084,1
44_image_png.rf.56b28dc88a9a994aa3ef01be12ad5908.jpg,18,2,7688,0
102_image_png.rf.fa141e564d22011e23fd0629264aedda.jpg,17,2,8411,0
79_image_png.rf.5f9a53f17b11dc98319d42d4b8f74c23.jpg,26,"0, 1, 2",7648,1
458_image_png.rf.196c76ce66e1c9324a909f109e3303c6.jpg,56,"0, 1",15208,1
532_image_png.rf.688f62a22173df6d025966325e59cc05.jpg,28,"1, 2",12241,1
56_image_png.rf.b39c159f75e47f6a139b2a3fde173835.jpg,5,2,3868,0
91_image_png.rf.0e6c3d84bf175119bba5aa85210f55a3.jpg,44,"1, 2",18402,1
34_image_png.rf.7b1fe8e255736637e4c52ab33c7dca03.jpg,18,"1, 2",7001,1
470_image_png.rf.505a288f5fc25c7c1941e5de1a58f729.jpg,59,"0, 1",17056,1
678_image_png.rf.645eb9816100ba392d5628bb44a8eeef.jpg,14,"1, 2",6539,1
413_image_png.rf.91f348d257f47fc463ff136ef0cf48db.jpg,51,"0, 1",12987,1
424_image_png.rf.0a4e493e122758b60bb379af60fc7bfd.jpg,41,"0, 1, 2",10904,1
408_image_png.rf.2ae59805d963e156c72a93c95b9c1df0.jpg,26,"0, 1, 2",8729,1
154_image_png.rf.9c7862646016ff3dcfe11199c6135200.jpg,66,"0, 1",15393,1
89_image_png.rf.527155326d32fd093ecb743fac09c4d9.jpg,42,"1, 2",15923,1
721_image_png.rf.193edd5f3f52ab1f62441753dd823596.jpg,29,"1, 2",10740,1
23_image_png.rf.8288c5f5206da5fcddcda450b234bfdc.jpg,15,2,8392,0
349_image_png.rf.942e30a9766ce2bd04775987fe927fb4.jpg,17,"0, 1",3989,1
623_image_png.rf.204e9036c2b19a7bcbbdbde1126f9456.jpg,14,"1, 2",5140,1
110_image_png.rf.10bba01c9c9dffbf5af065afc9583f70.jpg,36,"0, 1, 2",16329,1
183_image_png.rf.908a8e60ad03511d712c85e151168bcf.jpg,33,"0, 1, 2",13695,1
210_image_png.rf.4b6be4fa150c378d3c35cae74b202d76.jpg,100,0,6199,0
536_image_png.rf.5a37cec1a38d18ceb4ec52369d7509ab.jpg,41,"0, 1",12206,1
329_image_png.rf.8c4a4341a274d588e02b3250170a627a.jpg,100,0,11460,0
336_image_png.rf.6711e23aff580aa16cf49a28204df64f.jpg,90,0,10227,0
580_image_png.rf.aba5e54f0434434d356d199238968796.jpg,33,"0, 1, 2",8500,1
35_image_png.rf.55f74f314bf98ec32d12bf7ebffc92a1.jpg,26,"1, 2",10729,1
384_image_png.rf.b0c7ac024724af80d57eb6545b9dc58a.jpg,15,"1, 2",6476,1
86_image_png.rf.f8635c544e7037db525b1b46ad470bdc.jpg,14,"0, 1, 2",5071,1
605_image_png.rf.cf696bc6dada7c6a7ea5f5a8b7ee71bd.jpg,38,"1, 2",15866,1
656_image_png.rf.6db8b91b34e5c0641346e83667dd177a.jpg,12,"1, 2",3571,1
311_image_png.rf.0116774798be482d765baf221d228d84.jpg,100,"0, 1, 2",10435,1
299_image_png.rf.dcbe93787b0cf248b018d582dd59e19f.jpg,61,"0, 2",7724,0
595_image_png.rf.a06c4407580de5d67426c7f24520d3ca.jpg,37,"0, 1, 2",14506,1
372_image_png.rf.062eea14bb38e79ce2e8658f3317fdaa.jpg,37,"0, 1, 2",9349,1
716_image_png.rf.bea6f78c0262eb14c4562e2996833a84.jpg,43,"1, 2",18137,1
259_image_png.rf.1dec7c684e74b84826d7ac83a60aee12.jpg,58,"0, 1",8188,1
434_image_png.rf.28a4af0cdd57b54e6389cae2e89d76d3.jpg,18,"1, 2",5514,1
234_image_png.rf.e0d0ab5b9f8cb93851f700e2c4bf9c0c.jpg,94,0,13610,0
629_image_png.rf.582fce8c8d8dedbab27d67774de5582a.jpg,35,"1, 2",15578,1
681_image_png.rf.535d5e9b4b2cddb6f3ba1a0595127e97.jpg,24,"1, 2",9267,1
65_image_png.rf.107d48596a1453e83422bcf92ba49b0a.jpg,17,"0, 1, 2",4692,1
692_image_png.rf.7066c08e8ced6d02d33b5113a0fb809f.jpg,20,"0, 1, 2",9896,1
179_image_png.rf.6e0e71be8781cf2f56465743c77f9d77.jpg,34,"1, 2",14269,1
534_image_png.rf.ad003bb29179332fbcd05794de34c51d.jpg,53,"0, 1",12324,1
237_image_png.rf.3ecd7985ada400254b32fc2fab8d1cae.jpg,29,"0, 2",8043,0
335_image_png.rf.96935f7d90aafa7796f11889106445dd.jpg,72,"0, 1",8474,1
165_image_png.rf.54af2cd7185c85513e40a6b99509da49.jpg,18,"0, 1, 2",8107,1
491_image_png.rf.85137c396ce57bce7f5d230e97be5f6e.jpg,21,"0, 1, 2",5769,1
297_image_png.rf.481e496365e03c92b953e70eb3c4608b.jpg,43,0,5822,0
579_image_png.rf.4041a19c090e6189f7835c61d349a268.jpg,21,"0, 1, 2",5502,1
543_image_png.rf.684af5aba8749699765b744d7e4dcdbf.jpg,26,"0, 1",7310,1
732_image_png.rf.6aaf048deb518a201a51c8ba48f907d8.jpg,12,"1, 2",3406,1
528_image_png.rf.31f6db18ec5086a7114d991548b9aa69.jpg,59,"0, 1",14897,1
622_image_png.rf.72d77320dc424b1ffef02fad0f1cee54.jpg,29,"1, 2",11931,1
585_image_png.rf.5d17e0ea55f99ad38755d179df7c2a82.jpg,8,"0, 2",6394,0
87_image_png.rf.2bdb0a7b091862befa0ffdb07317f297.jpg,21,"0, 1, 2",5402,1
694_image_png.rf.0d9091c5ddcd8d43a24a3c52b72e874e.jpg,16,"0, 1, 2",5477,1
724_image_png.rf.0340bdc24dffd7a1b696a6e9f5c1d049.jpg,21,"1, 2",7686,1
599_image_png.rf.2000b4d91f28e3ab488fceb68676014e.jpg,39,"1, 2",16201,1
727_image_png.rf.30e3ae06c0cf65fcaf0b26b64563339a.jpg,19,"1, 2",7116,1
483_image_png.rf.ef6add2e0cab17bfa0f84efb8dc591ef.jpg,32,"0, 1, 2",10596,1
412_image_png.rf.2db053796b125c4eb5c30a532707effa.jpg,22,"1, 2",7650,1
351_image_png.rf.d523c3f848dc9f62b4298ab71bdf8466.jpg,12,"1, 2",3474,1
679_image_png.rf.b76f990b130e482c1f73518379387d60.jpg,29,"0, 1",7771,1
98_image_png.rf.afaef5f3a1126cb0811f77769918a6e7.jpg,25,"1, 2",10626,1
326_image_png.rf.e8d4d6de926ec2911e8f83dd65227c3c.jpg,84,0,9736,0
279_image_png.rf.929787102d6fe3cab68f3fc36552d46e.jpg,96,0,10851,0
487_image_png.rf.aa529aa6154f3b8a88fe1114c227c253.jpg,69,"0, 1",16250,1
524_image_png.rf.5a3ce17ec1f15cb35adc52ae25ba161d.jpg,18,"0, 1, 2",5521,1
118_image_png.rf.a6e1d7e02c4db414499591fad0fa0795.jpg,30,"1, 2",13645,1
478_image_png.rf.ac6cd93c157cd64473e4c31cde56561d.jpg,85,"0, 1",22100,1
480_image_png.rf.8391795203ac6764ca18fd350b061014.jpg,71,"0, 1",18536,1
252_image_png.rf.05adf5490c95d3b1a685f94398aa1b9c.jpg,100,0,9693,0
202_image_png.rf.a9140c88ab23791c65e49a45710fe1bf.jpg,55,"0, 1",8188,1
696_image_png.rf.66c29615cc7f0ec852fd66bdfce81e66.jpg,20,"1, 2",8084,1
417_image_png.rf.0b8be12dea822dd92e129f77139f45f3.jpg,24,"1, 2",7424,1
231_image_png.rf.41e88962c18183020c95bc8ba2eac08e.jpg,85,"0, 1",13721,1
239_image_png.rf.f4efc47b4a1ff4a1f076b624832c10ab.jpg,31,"0, 1, 2",7540,1
84_image_png.rf.0c0c0b7b091a8b60e8033604da6b5ebb.jpg,41,"0, 1, 2",12100,1
428_image_png.rf.b0bb197c24ee63a2af1fcaf31c40f030.jpg,19,"0, 1, 2",5317,1
175_image_png.rf.2f217f1101f7c01d1f6d551644dd3674.jpg,35,"1, 2",13975,1
330_image_png.rf.3bd70468bebe5bbcebca5c2e9e102da3.jpg,82,"0, 1",8337,1
318_image_png.rf.d861cc1875b72c6bf59d5bf76c839fac.jpg,96,0,10684,0
502_image_png.rf.8d73cd4094380bf6e69bd75c0141f98b.jpg,14,"0, 1, 2",2915,1
402_image_png.rf.3581e74a6b63389c67ce1d54200608e8.jpg,37,"0, 1, 2",10994,1
481_image_png.rf.20282da0f9191496f3456a2c403f1bf0.jpg,29,"0, 1, 2",9483,1
425_image_png.rf.1b05db918c9feef92429904a885e140a.jpg,23,"1, 2",7769,1
451_image_png.rf.96ce7f6ffc161ed8219379d6d2a4f455.jpg,29,"0, 1, 2",11229,1
657_image_png.rf.161f2db4e19c40a7ca438bd7b16ea5ba.jpg,51,"0, 1",13673,1
650_image_png.rf.0715373d638d7eed6d27a7a7e2d73889.jpg,65,"0, 1, 2",19201,1
531_image_png.rf.df91239fdde9606ba8f9282fed8cba52.jpg,26,"0, 1, 2",11059,1
341_image_png.rf.41a3a0ca90601d8b70216c1fcaa27d49.jpg,100,0,5958,0
130_image_png.rf.67c2c46c90de66be2bd011f19b147dbc.jpg,43,2,22623,0
69_image_png.rf.523f79a0ddbda951c0632ce39ddb3697.jpg,32,"0, 1",5539,1
456_image_png.rf.70f6ea19f0c76116f2149f17b51fdb71.jpg,58,"0, 1, 2",15164,1
475_image_png.rf.efb0211bebc0ebc3f5a6e157e4f01cc3.jpg,37,"0, 1, 2",10242,1
70_image_png.rf.cc15d2e60f98b9557a279d9d3e951909.jpg,34,"0, 1",5929,1
612_image_png.rf.4ee19dd3f7f7645061578740401c20f8.jpg,13,"0, 1, 2",4181,1
576_image_png.rf.020b747598285e69921e5f0a971cbfac.jpg,22,"0, 1, 2",13170,1
307_image_png.rf.dfbec10829ade3879464e1249edfa830.jpg,84,0,8771,0
444_image_png.rf.9f465c7d1676ec6e2680e4f7d6886c4c.jpg,21,"0, 1",7477,1
522_image_png.rf.461c2afd83c2eb39517a2e012c997f4d.jpg,34,"0, 1, 2",10236,1
613_image_png.rf.0167ceecd958db677aab76a352ae3fb7.jpg,36,"0, 1, 2",15411,1
189_image_png.rf.c7ae72bb24874a524fe190a37051b488.jpg,50,"0, 1, 2",13699,1
485_image_png.rf.738f986628458b3e985af749f1b6f9a3.jpg,77,"0, 1",18815,1
302_image_png.rf.47ad819a7c00054dd857fb7f04709a36.jpg,83,0,9588,0
61_image_png.rf.938db9db59ee641a6bdb7a83a6368ee2.jpg,19,"1, 2",9525,1
462_image_png.rf.d2c1665019bbd3a3e1a0725069cb27ee.jpg,47,"0, 1, 2",16198,1
704_image_png.rf.d3392c6af7cdeb2c24136167816f9b7e.jpg,38,"1, 2",15925,1
393_image_png.rf.e2264b62622ec6e54cf780aa58d95a74.jpg,15,"1, 2",4523,1
83_image_png.rf.57ab28ee7fd1ff0987195f5c87090b4d.jpg,43,"0, 1, 2",12894,1
254_image_png.rf.5c7e46be300446dd97e1028117606107.jpg,88,"0, 1",12835,1
427_image_png.rf.16358d8b38bc2b4004ccadd12726da33.jpg,16,"1, 2",4486,1
247_image_png.rf.7a9eed8da2f648858317bb8bd8b9df43.jpg,91,0,10471,0
728_image_png.rf.897943a0733e85656dca3d53b25a7e14.jpg,23,"1, 2",10449,1
499_image_png.rf.a34d8f4b9085b994e5f09e765c2475fd.jpg,21,"0, 1, 2",6065,1
33_image_png.rf.bee0df681b7a03f9c2ba1083400cd9bc.jpg,8,"1, 2",2431,1
555_image_png.rf.6b5d750052cfae91c15a8a6a622085f7.jpg,36,"0, 1, 2",13221,1
153_image_png.rf.7a3a8c6026c5e51dc482daebaf4aee18.jpg,27,"1, 2",11360,1
337_image_png.rf.5a180f79074b8cd34fd9c45dc32fa807.jpg,68,0,7944,0
241_image_png.rf.b095a71a0276f0e6e32c904a9a6fe88d.jpg,18,"0, 1, 2",3620,1
109_image_png.rf.0fba5f32d0700d1f48793dc803f9bb43.jpg,32,"1, 2",17562,1
496_image_png.rf.bfd9738d42a12695da1e1ada6b694544.jpg,30,"0, 1",8040,1
418_image_png.rf.54fcaaf8bfa9b4f5a52b3005454ad24b.jpg,21,"1, 2",7580,1
205_image_png.rf.9f191ba248cf1fd00f47de5db7b4802a.jpg,100,0,5900,0
266_image_png.rf.10dcb74bd96d5b92f0ec4b61392259e7.jpg,89,0,10980,0
151_image_png.rf.1be21f56be0b985cb5baea65c42c831b.jpg,42,"0, 1, 2",12179,1
262_image_png.rf.c3397b54e49d2fb92d309cdf2f85fb9e.jpg,86,0,12512,0
658_image_png.rf.42c04bdc1da0c650df05b6458eb59d32.jpg,70,"0, 1",19417,1
325_image_png.rf.181e79f3ae5ada5fc1aca801d2b6d37d.jpg,91,"0, 2",10519,0
305_image_png.rf.d2d70d1e37a8431ec79bed6a1bd38efd.jpg,48,"0, 2",5638,0
700_image_png.rf.a94bdda047d50282d19deeaa90af9b7e.jpg,25,"1, 2",10853,1
693_image_png.rf.9cd9d639dab8d7d12bf8cf3284fffaa9.jpg,18,"0, 1",7010,1
51_image_png.rf.27a429c5a8814e35518be621735a8115.jpg,8,2,3062,0
223_image_png.rf.f401d5883894bed67bed4b2a396d9d89.jpg,76,0,7869,0
268_image_png.rf.b404a1360fbb02eeff09cf22ad428562.jpg,65,"0, 1",8150,1
47_image_png.rf.fb082578402d4c55c3316f3b68e159a4.jpg,17,2,9547,0
344_image_png.rf.cd7bc68bc5270e78ba1e79974f263a9f.jpg,21,"1, 2",8891,1
506_image_png.rf.5a799a59e239f3596812eab4471a6236.jpg,44,"0, 1, 2",12798,1
518_image_png.rf.10385f2d8d6c0370b40e87b45d859c44.jpg,22,"1, 2",8491,1
112_image_png.rf.5b0c8d7b9a0e67788c8c9f9c84985354.jpg,27,"0, 1, 2",10753,1
221_image_png.rf.c88875da8ecc29efa69de4e43902bc54.jpg,100,0,5538,0
121_image_png.rf.2bf51ee169b61aafd4adaf9974fbf202.jpg,29,"0, 1, 2",13276,1
76_image_png.rf.cc4dc295e56f705b848a57c59489671d.jpg,30,"0, 1",5112,1
484_image_png.rf.af2516ebcaf8caa20f55db8ab7b1f721.jpg,54,"0, 1, 2",12595,1
284_image_png.rf.a846905e69f21da97c6891c05962889e.jpg,67,"0, 2",8440,0
128_image_png.rf.182d26b038f1f075f599bbd16771a8e7.jpg,22,"1, 2",15274,1
566_image_png.rf.3a7dce45bb7716246da87e60ec8df91c.jpg,15,"0, 1, 2",6879,1
77_image_png.rf.902fcde1fd299f58f0f11a556daf11cf.jpg,44,"0, 1",8144,1
670_image_png.rf.0c39eb6c98ffb3bba18e3e1f0bf3a7e4.jpg,42,"0, 1, 2",13429,1
303_image_png.rf.556155b21514dbe4468e48d581b0e79c.jpg,70,"0, 1",8406,1
295_image_png.rf.0f75a9da3dd97c3767f7ee599ab60be3.jpg,65,"0, 2",8774,0
503_image_png.rf.66ea13ee35b2f0992faec08692ae5cee.jpg,15,"0, 1, 2",5923,1
184_image_png.rf.cd919865e756c3060655ef607ca23022.jpg,72,"0, 1, 2",20167,1
677_image_png.rf.6afbc3735c05095fbb4166e301b7f452.jpg,45,"0, 1",13175,1
523_image_png.rf.e62e9b50766a0a4b0861627fca33f5c0.jpg,30,"0, 1, 2",10073,1
146_image_png.rf.d544162a26ace1a67e988bc28fbdb313.jpg,25,"0, 1, 2",9136,1
60_image_png.rf.266a836e9039cf089eb9dc4f3fbc1a93.jpg,14,"1, 2",8040,1
574_image_png.rf.2c231e1b736483b6dce6ddec45ded901.jpg,22,"0, 1, 2",6128,1
501_image_png.rf.a75b0599aadb702045243abf13470043.jpg,21,"0, 1, 2",6924,1
144_image_png.rf.50a64a60d1463d1a3fc2d0912d8e49ea.jpg,56,"0, 1, 2",15420,1
31_image_png.rf.b9dcb023a3cf4c573c040e6ea29e4c91.jpg,12,"1, 2",6050,1
224_image_png.rf.d78d4ee4411b6491e6155531f021ff8d.jpg,65,"0, 1",7674,1
570_image_png.rf.504976b381e1d19db64e37042fb5c8a8.jpg,19,"0, 1, 2",10118,1
558_image_png.rf.7f183111b7602233e5999d24f892a2f3.jpg,11,"0, 2",6734,0
405_image_png.rf.ab92296bf15c11e5f7694cfbb21b3d30.jpg,20,"0, 1, 2",6836,1
276_image_png.rf.7dce8b49aee635cf068c29ba33827768.jpg,65,"0, 1, 2",9641,1
407_image_png.rf.cdf117d4906f8906f029544e7f5c231f.jpg,35,"1, 2",12756,1
324_image_png.rf.55e93b794309ce41cca098720f2625db.jpg,93,0,10820,0
592_image_png.rf.4eea4db4f7c46f3f7ceed13b61cee75c.jpg,25,2,10180,0
461_image_png.rf.b8a329c18ee3094ddea3e809948dcc6c.jpg,35,"0, 1, 2",14803,1
671_image_png.rf.89143fa46bd703f6462ae9a46b2734da.jpg,32,"0, 1",9732,1
